County,Total Population,Total Population of One Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Nattive Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Population of Two or More Races,2020 Personal Income Per Capita (in dollars),2019 Personal Income Per Capita (in dollars),Violent Crime Rate (per 1000),Property Crime Rate (per 1000),Drug and Alcohol Crime Rate (per 1000),2018 Midterm turnout (%),Higher Income,Higher proportion minority
Sullivan County,"5,840","5,605","5,439",85,9,20,0,52,235,52767,49647,12.72,15,6.52,63.07,1,0
Susquehanna County,"38,434","36,764","36,066",145,76,138,0,339,"1,670",51186,48990,8.46,12.36,8.8,62.13,1,0
Tioga County,"41,045","39,309","38,477",343,77,189,7,216,"1,736",44366,41371,7.27,12.14,8.07,53.5,0,0
Union County,"42,681","41,090","36,974","2,583",102,822,8,601,"1,591",47782,44452,4.18,10.56,5.35,60.61,0,1
Venango County,"50,454","48,239","47,324",444,83,172,10,206,"2,215",47240,43572,7.55,12.67,13.25,59.79,0,0
Warren County,"38,587","36,964","36,447",149,76,157,5,130,"1,623",46945,43634,9.08,15.74,9.39,48.51,0,0
Washington County,"209,349","198,887","188,060","6,958",301,"2,013",64,"1,491","10,462",61945,57447,8.47,16.87,11.5,58.85,1,0
Wayne County,"51,155","48,667","45,795","1,722",111,424,0,615,"2,488",49187,45567,7.19,11.72,8,60.7,0,0
Westmoreland County,"354,663","339,397","324,684","9,188",419,"3,328",38,"1,740","15,266",56620,52476,6,13.52,9.71,59.5,1,0
Wyoming County,"26,069","24,928","24,363",233,44,119,6,163,"1,141",52731,48722,9.4,14.38,10.54,63.41,1,0
York County,"456,438","427,798","373,200","27,999","1,116","6,675",182,"18,626","28,640",54808,51295,7.48,17.79,11.55,55.84,1,1
